Timer,State,InteractionTorque,Angle,MotorTorque,HumanTorque
4.933447322,flexion,-3.52519152270982,48.76878046420013,-5.0,-3.672449624713259
4.966823498,flexion,-3.559997923202344,49.60050150969312,-5.0,-3.1299031713686087
5.000098773,flexion,-3.5554511925538024,50.40383954503775,-5.0,-2.624862720306015
5.033454931,flexion,-3.5602263050487357,51.25301186982152,-5.0,-2.059699643974005
5.066754602,flexion,-3.5531850286838136,52.100494992217556,-5.0,-1.532317980984946
5.100205329,flexion,-3.521233974118519,53.027514431477435,-5.0,-1.1479525158134507
5.133453913,flexion,-3.4760098391849574,53.99973054150295,-5.0,-0.6506394567975331
5.166781247,flexion,-3.4245164975003854,55.05401362998949,-5.0,-0.3185442791269616
5.200227365,flexion,-3.3860911622064442,56.205232232840636,-5.0,-0.061296642326535755
5.233481931,flexion,-3.318113148169633,57.459019868107546,-5.0,0.1598567160436225
5.266800127,flexion,-3.292789913248924,58.80797408853073,-5.0,0.12142239469703964
5.300225366,flexion,-3.2007042439725515,60.219265191533474,-5.0,0.23561903377434945
5.333443472,flexion,-3.181069858170781,61.74843359590505,-5.0,-0.026756886073914576
5.366745227,flexion,-3.1268577111400857,63.40717010821098,-5.0,-0.26209380075984956
5.400468412,flexion,-3.1269850244202178,65.06759787960416,-5.0,-0.56483321911176
5.433465549,flexion,-3.122412505786475,66.75087770679342,-5.0,-1.048553613566343
5.46677591,flexion,-3.1246522393736385,68.43905188665018,-5.0,-1.4522974758972758
5.500211319,flexion,-3.144380090513951,70.14458874763743,-5.0,-1.991805094030953
5.533482355,flexion,-3.1548943687522266,71.75801732008259,-5.0,-2.4976315141154934
5.566772919,flexion,-3.222573123845822,73.290786331763,-5.0,-3.088769352286789
5.600290844,flexion,-3.2622197063654994,74.77915360910465,-5.0,-3.6541997022515327
5.633479094,flexion,-3.334214784671892,76.11288511250147,-5.0,-4.149393739813557
5.667081018,flexion,-3.4077426933695163,77.28554759789428,-5.0,-4.644971012306002
5.700097121,flexion,-3.479044650040766,78.32504262323317,-5.0,-5.069830979451082
5.733444923,flexion,-3.581813704975139,79.23385932030746,-5.0,-5.468044105371135
5.766796222,flexion,-3.663677268186804,79.98123422566853,-5.0,-5.885246334839115
